date,state,district,pincode,bio_age_5_17,bio_age_17_
29-07-2025,Tamil Nadu,Krishnagiri,635116,6,5
29-07-2025,Tamil Nadu,Krishnagiri,635120,2,3
29-07-2025,Tamil Nadu,Krishnagiri,635122,3,7
29-07-2025,Tamil Nadu,Krishnagiri,635123,1,0
30-07-2025,Tamil Nadu,Krishnagiri,635102,0,7
30-07-2025,Tamil Nadu,Krishnagiri,635107,5,10
30-07-2025,Tamil Nadu,Krishnagiri,635108,0,3
30-07-2025,Tamil Nadu,Krishnagiri,635115,5,9
30-07-2025,Tamil Nadu,Krishnagiri,635121,0,12
30-07-2025,Tamil Nadu,Krishnagiri,635203,6,12
30-07-2025,Tamil Nadu,Krishnagiri,636902,1,0
04-08-2025,Tamil Nadu,Krishnagiri,635104,8,8
04-08-2025,Tamil Nadu,Krishnagiri,635106,2,2
04-08-2025,Tamil Nadu,Krishnagiri,635114,4,10
04-08-2025,Tamil Nadu,Krishnagiri,635119,4,3
04-08-2025,Tamil Nadu,Krishnagiri,635120,5,4
04-08-2025,Tamil Nadu,Krishnagiri,635123,1,4
04-08-2025,Tamil Nadu,Krishnagiri,635206,2,10
04-08-2025,Tamil Nadu,Krishnagiri,635304,6,11
04-08-2025,Tamil Nadu,Krishnagiri,635307,26,12
04-08-2025,Tamil Nadu,Krishnagiri,636806,1,0
05-08-2025,Tamil Nadu,Krishnagiri,635106,2,4
05-08-2025,Tamil Nadu,Krishnagiri,635115,4,8
05-08-2025,Tamil Nadu,Krishnagiri,635122,7,14
05-08-2025,Tamil Nadu,Krishnagiri,635126,5,7
05-08-2025,Tamil Nadu,Krishnagiri,635201,0,3
05-08-2025,Tamil Nadu,Krishnagiri,635207,9,7
05-08-2025,Tamil Nadu,Krishnagiri,635304,14,5
23-10-2025,Tamil Nadu,Krishnagiri,635002,9,5
23-10-2025,Tamil Nadu,Krishnagiri,635110,24,4
23-10-2025,Tamil Nadu,Krishnagiri,635112,23,13
23-10-2025,Tamil Nadu,Krishnagiri,635114,3,3
23-10-2025,Tamil Nadu,Krishnagiri,635119,12,3
23-10-2025,Tamil Nadu,Krishnagiri,635201,14,3
23-10-2025,Tamil Nadu,Krishnagiri,635304,28,6
23-10-2025,Tamil Nadu,Krishnagiri,635306,24,7
22-10-2025,Tamil Nadu,Krishnagiri,635110,19,2
22-10-2025,Tamil Nadu,Krishnagiri,635119,12,5
22-10-2025,Tamil Nadu,Krishnagiri,635120,15,1
22-10-2025,Tamil Nadu,Krishnagiri,635122,22,22
22-10-2025,Tamil Nadu,Krishnagiri,635124,2,1
22-10-2025,Tamil Nadu,Krishnagiri,635207,26,8
22-10-2025,Tamil Nadu,Krishnagiri,635304,26,6
22-10-2025,Tamil Nadu,Krishnagiri,636806,1,0
26-10-2025,Tamil Nadu,Krishnagiri,635118,2,0
26-10-2025,Tamil Nadu,Krishnagiri,635126,0,1
27-10-2025,Tamil Nadu,Krishnagiri,635001,106,17
27-10-2025,Tamil Nadu,Krishnagiri,635002,24,5
27-10-2025,Tamil Nadu,Krishnagiri,635107,49,6
27-10-2025,Tamil Nadu,Krishnagiri,635108,9,5
27-10-2025,Tamil Nadu,Krishnagiri,635109,109,35
27-10-2025,Tamil Nadu,Krishnagiri,635110,39,5
27-10-2025,Tamil Nadu,Krishnagiri,635113,54,12
27-10-2025,Tamil Nadu,Krishnagiri,635114,17,2
27-10-2025,Tamil Nadu,Krishnagiri,635118,22,6
27-10-2025,Tamil Nadu,Krishnagiri,635119,12,0
27-10-2025,Tamil Nadu,Krishnagiri,635207,32,7
29-10-2025,Tamil Nadu,Krishnagiri,635111,4,0
29-10-2025,Tamil Nadu,Krishnagiri,635112,54,9
29-10-2025,Tamil Nadu,Krishnagiri,635201,38,6
29-10-2025,Tamil Nadu,Krishnagiri,635203,58,15
30-10-2025,Tamil Nadu,Krishnagiri,635101,14,9
30-10-2025,Tamil Nadu,Krishnagiri,635107,43,15
30-10-2025,Tamil Nadu,Krishnagiri,635112,64,7
30-10-2025,Tamil Nadu,Krishnagiri,635113,56,13
30-10-2025,Tamil Nadu,Krishnagiri,635114,27,2
30-10-2025,Tamil Nadu,Krishnagiri,635201,26,5
30-10-2025,Tamil Nadu,Krishnagiri,635204,20,9
30-10-2025,Tamil Nadu,Krishnagiri,636902,2,1
17-10-2025,Tamil Nadu,Krishnagiri,635001,70,12
17-10-2025,Tamil Nadu,Krishnagiri,635103,5,3
17-10-2025,Tamil Nadu,Krishnagiri,635109,71,13
17-10-2025,Tamil Nadu,Krishnagiri,635111,3,0
17-10-2025,Tamil Nadu,Krishnagiri,635117,35,24
17-10-2025,Tamil Nadu,Krishnagiri,635120,19,1
16-10-2025,Tamil Nadu,Krishnagiri,635001,110,28
16-10-2025,Tamil Nadu,Krishnagiri,635002,16,3
16-10-2025,Tamil Nadu,Krishnagiri,635104,14,7
16-10-2025,Tamil Nadu,Krishnagiri,635110,13,4
16-10-2025,Tamil Nadu,Krishnagiri,635113,12,3
16-10-2025,Tamil Nadu,Krishnagiri,635117,18,24
16-10-2025,Tamil Nadu,Krishnagiri,635120,42,3
16-10-2025,Tamil Nadu,Krishnagiri,635121,28,21
16-10-2025,Tamil Nadu,Krishnagiri,635122,22,22
16-10-2025,Tamil Nadu,Krishnagiri,635123,1,1
16-10-2025,Tamil Nadu,Krishnagiri,635126,26,4
16-10-2025,Tamil Nadu,Krishnagiri,635201,6,3
25-10-2025,Tamil Nadu,Krishnagiri,635002,13,3
25-10-2025,Tamil Nadu,Krishnagiri,635109,43,14
25-10-2025,Tamil Nadu,Krishnagiri,635116,4,0
25-10-2025,Tamil Nadu,Krishnagiri,635120,19,1
25-10-2025,Tamil Nadu,Krishnagiri,635122,8,4
25-10-2025,Tamil Nadu,Krishnagiri,635123,5,3
25-10-2025,Tamil Nadu,Krishnagiri,635203,64,7
25-10-2025,Tamil Nadu,Krishnagiri,635204,13,2
25-10-2025,Tamil Nadu,Krishnagiri,635306,12,4
24-10-2025,Tamil Nadu,Krishnagiri,635002,12,1
24-10-2025,Tamil Nadu,Krishnagiri,635115,9,7
24-10-2025,Tamil Nadu,Krishnagiri,635121,22,8
24-10-2025,Tamil Nadu,Krishnagiri,635126,19,9
24-10-2025,Tamil Nadu,Krishnagiri,635201,13,8
24-10-2025,Tamil Nadu,Krishnagiri,635204,17,8
24-10-2025,Tamil Nadu,Krishnagiri,635304,26,3
24-10-2025,Tamil Nadu,Krishnagiri,636902,13,1
28-10-2025,Tamil Nadu,Krishnagiri,635002,36,6
28-10-2025,Tamil Nadu,Krishnagiri,635108,20,2
28-10-2025,Tamil Nadu,Krishnagiri,635109,143,41
28-10-2025,Tamil Nadu,Krishnagiri,635118,31,8
28-10-2025,Tamil Nadu,Krishnagiri,635122,45,11
28-10-2025,Tamil Nadu,Krishnagiri,635201,34,5
28-10-2025,Tamil Nadu,Krishnagiri,635304,14,8
28-10-2025,Tamil Nadu,Krishnagiri,635307,33,5
31-10-2025,Tamil Nadu,Krishnagiri,635002,8,0
31-10-2025,Tamil Nadu,Krishnagiri,635112,84,22
31-10-2025,Tamil Nadu,Krishnagiri,635113,51,15
31-10-2025,Tamil Nadu,Krishnagiri,635115,45,10
31-10-2025,Tamil Nadu,Krishnagiri,635116,40,6
31-10-2025,Tamil Nadu,Krishnagiri,635117,38,16
01-11-2025,Tamil Nadu,Krishnagiri,635001,59,30
01-11-2025,Tamil Nadu,Krishnagiri,635002,15,8
01-11-2025,Tamil Nadu,Krishnagiri,635102,24,4
01-11-2025,Tamil Nadu,Krishnagiri,635108,12,3
01-11-2025,Tamil Nadu,Krishnagiri,635110,24,5
01-11-2025,Tamil Nadu,Krishnagiri,635116,31,2
01-11-2025,Tamil Nadu,Krishnagiri,635124,20,2
18-09-2025,Tamil Nadu,Krishnagiri,635103,2,4
18-09-2025,Tamil Nadu,Krishnagiri,635109,19,49
18-09-2025,Tamil Nadu,Krishnagiri,635115,5,7
18-09-2025,Tamil Nadu,Krishnagiri,635201,5,4
18-09-2025,Tamil Nadu,Krishnagiri,635203,9,13
